policy_loss,serial_timesteps,time_elapsed,policy_entropy,fps,approxkl,value_loss,ep_reward_mean,n_updates,clipfrac,explained_variance,total_timesteps
4.0911837e-06,7168,1095.4621846675873,2.8401384,20,0.00041329474,467.7211,1.6593080435563103,28,0.0,0.0030652284622192383,28672
-2.9730028e-05,7424,1145.1478097438812,2.8401234,19,1.0606956e-05,457.97845,2.201174811749656,29,0.0,0.0027313232421875,29696
2.6630587e-06,7680,1197.459856748581,2.8400984,23,1.7888984e-05,543.67395,2.455291405119293,30,0.0,0.0011577606201171875,30720
-9.788218e-05,7936,1241.5692937374115,2.8403392,20,2.6780483e-05,442.72824,1.2338364742790144,31,0.0,0.0007167458534240723,31744
-0.00025007734,8192,1291.7756445407867,2.8405824,19,7.004907e-05,280.63437,1.2470267089213138,32,0.0,-0.0003126859664916992,32768
-0.00023931812,8448,1345.0569214820862,2.8407507,22,2.9562063e-05,471.90598,1.53991573199898,33,0.0,0.0010815262794494629,33792
-0.0012385023,8704,1389.9901604652405,2.8408728,22,8.8208806e-05,729.3436,2.4092887888180994,34,0.0,0.0011577606201171875,34816
-0.0001525869,8960,1436.0263350009918,2.8408456,21,0.00030961641,573.1509,2.0308444350501107,35,0.0,0.005282700061798096,35840
0.0002436181,9216,1482.8527567386627,2.840821,17,1.4224411e-05,359.6521,1.3064332115770454,36,0.0,0.005376100540161133,36864
-0.0007218057,9472,1542.8607597351074,2.8408225,13,0.00016480156,312.43454,1.3812343131518685,37,0.0,0.0063517093658447266,37888
-0.00018151439,9728,1617.9640254974365,2.840833,21,4.9535425e-05,468.1939,1.3675599091603339,38,0.0,0.0043149590492248535,38912
-0.00022130797,9984,1666.2217423915863,2.8409848,20,5.599051e-05,320.67422,0.9516311403925982,39,0.0,0.0021215081214904785,39936
-0.00022090679,10240,1716.2287666797638,2.8410156,22,1.9853816e-05,411.0738,1.4820738691477435,40,0.0,0.008360683917999268,40960
-9.277504e-05,10496,1761.6049449443817,2.8410077,23,9.942086e-05,370.8949,2.3399729701279783,41,0.0,0.005956828594207764,41984
-3.6968588e-05,10752,1805.9130070209503,2.8409355,25,2.3711176e-05,471.24994,1.3860978991226063,42,0.0,0.006242811679840088,43008
0.00012948911,11008,1846.6782035827637,2.8408396,23,4.2484353e-05,815.50977,1.0847321027134023,43,0.0,0.0020284652709960938,44032
-0.0001712013,11264,1891.0659737586975,2.8407342,24,1.9276104e-05,270.55557,0.8780535166354756,44,0.0,0.004504382610321045,45056
4.101667e-05,11520,1933.5486378669739,2.840785,27,2.9158606e-05,905.9305,2.9345916659504296,45,0.0,-0.0027971267700195312,46080
0.00024885483,11776,1970.1526772975922,2.841085,25,5.672886e-05,446.08765,1.5135561398412407,46,0.0,0.005300581455230713,47104
-4.4522923e-05,12032,2010.9261798858643,2.8412635,25,7.1702925e-05,573.3242,2.785419603199569,47,0.0,0.0042549967765808105,48128
-0.0003840957,12288,2051.3421511650085,2.841322,24,5.0254363e-05,712.18915,2.0447073864974206,48,0.0,0.0015622377395629883,49152
-0.00029766277,12544,2093.79531788826,2.8413296,24,2.3521236e-05,531.30853,1.827108537477163,49,0.0,0.001553177833557129,50176
-0.00038543798,12800,2136.1013507843018,2.841399,25,3.95351e-05,484.90314,3.031821648121588,50,0.0,0.004991590976715088,51200
